"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"24","01","UP","0124RM012","","","","","24","01","UP","0124RM012","","","24","01","17","7","5","PM","01","21","5","0","0","","POCATELLO","211.5","16","32","3","5","005","E","MPCN","3","15565","1","Y","YARD 114","1","","2","TILX","140037","092","N","","","000","","3","0","1","0","0","0","0","1","0","0","117","0","28","0","0","4","0","13","0","0","33509","3095","T207","","0","0","0","0","T207","2","1","005","36604","","16C005","0","000000","0","1","0","1","1","03","06","05","41","1","8","","CL","","","","164","","2024","0","0","0","0","0","0","BANNOCK","005","","","","N","10063","3","MPCNP-17, PULLING EAST ON TRACK 114 WHEN RAIL BROKE BENEATH CAR TILX140037, ROLLING THE RAIL EAST OF","CAR, PUTTING A TOTAL OF 17 CARS AND 1 LOCOMOTIVE ON THE GROUND.","","","","","","","","","","","","","","0","42.831987","-112.414663","1","5","","","","POCATELLO SUB",
"24","05","UP","0524PR015","24","05","TSWS","05192024","24","05","TSWS","05192024","","","24","05","19","12","5","AM","12","0","0","0","0","","JOLIET","1.78","17","65","4","1","005","E","IG4L","1","2316","1","Y","YARD 404","1","","2","UP","009644","116","N","","","000","","4","0","1","0","0","0","0","0","0","0","200","0","0","0","0","0","0","0","0","0","57879","45000","H301","H306","0","0","0","0","H301","2","2","008","187879","","17C197","0","000000","0","1","0","1","0","01","05","01","05","2","4","","CL","","","","1262","","2024","0","0","0","0","0","0","WILL","197","","","","N","4763","2","TSS SWITCH JOB J3 WAS WORKING WITH UT2 SWITCHING BETWEEN 401 & 403 ON THE SOUTH END. WHEN THEY TIED","ONTO 404 INSTEAD OF 403 AND SHOVED 404 NORTH APPROX 2 TO 2 1/2 TUBS. UT2 NOTICED THAT 404 WAS MOVING","INSTEAD OF 403 SAID TO STOP MOVE. J3 THEN CUT AWAY FROM 404. IT WAS NOT NOTICED THAT THEY HAD SHOVE","D 404 OUT THE FOUL OF THE LEAD. WHEN THE DTTX723125 ON 404 WAS SHOVED OUT THE NORTH END TO FOUL THE","LEAD, IT SIDE SWIPED THE IG4LB-18 AS IT WAS DEPARTING OFF 406. WHEN THE DTTX723125 STRUCK THE IG4LB-","18 IT DID SO AT THE MID TRAIN DPU UP9644 AND THE REAR 85 TUBS OF THE TRAIN AS THE TRAIN DEPARTED. TH","E DTTX732125 DERAILED THE B & C WELLS OF THE CAR WHEN IT SIDE SWIPED THE IG4LB-18. A TTX CARPERSON N","OTICED THE CARS ON THE IG4LB-18 ROCKING AND CONTACTED THEIR SUPERVISOR, WHO IN TURN CONTACTED THE SW","ITCHING COORDINATOR WHO ATTEMPTED TO CONTACT THE CREW ON THE IG4LB-18 ON 2 DIFFERENT CHANNELS TO GET","THEM TO STOP THE O/B MOVE. NO INJURIES, BUT 2 TUBS DERAIL ON THE DTTX723125 THAT WAS ON 404, NO CAR","S OR POWER ON THE IG4LB-18 DERAILED JUST SIDE SWIPED. LOCOMOTIVE WILL INSPECT THE UP9644 WHEN TAKEN","TO PIT TO FIND EXTENT OF DAMAGE TO THE ENGINEER SIDE FROM THE SIDE SWIPE. TTX IS INSPECTING THE 85 T","UBS OFF THE IG4LB-18 TO LOG THE EXTENT OF DAMAGE DONE TO THEM.","","","0","41.47766","-88.104045","2","5","K","L","","JOLIET INTERMODAL TE",
"24","05","NS","156607","","","","","24","05","NS","156607","","","24","05","05","10","45","PM","12","0","0","0","0","","ALTON","1","17","62","4","3","007","E","DF22","2","0","7","Y","FE08","1","","2","UTLX","684512","004","N","","","000","","1","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","0","1","0","0","93000","0","H020","","0","0","0","0","H020","2","1","007","186000","","17C119","0","000000","0","1","0","1","0","06","45","06","45","3","6","","1","","","","305","","2024","0","0","0","0","0","0","MADISON","119","00","00","","N","328","1","SECURED TRACK BEGAN TO MOVE ACCOUNT MOISTURE BETWEEN WHEEL AND SHOES AFTER CARS WERE SHOVED OVER THE","CLEARANCE POINT. THIS RESULTED IN THE 12 LOADED TANK CARS TO SLOSH (10 LOADS WERE CLASSED AS HEAVY","CAR GREATER THEN 120 TONS) ALLOWING CARS TO ROLL OUT OF TRACK SIDESWIPING THE DF22 SHOVING DOWN THE","LEAD.","","","","","","","","","","","","0","38.886748","-90.167969","2","5","K","","","T&E LINE",
"24","05","NS","156607","","","","","24","05","NS","156607","","","24","05","05","10","45","PM","12","0","0","0","0","","ALTON","1","17","62","4","3","002","E","NOTR","4","0","6","N","FE08","1","","2","UTLX","675401","001","Y","","","000","","0","0","0","0","0","0","0","0","0","0","12","0","5","0","0","1","0","0","0","0","93000","0","H020","","0","0","0","0","H020","2","1","007","186000","","17C119","0","000000","0","0","0","0","0","","","","","1","6","","1","","","","305","","2024","0","0","0","0","0","0","MADISON","119","00","00","","N","0","","SECURED TRACK BEGAN TO MOVE ACCOUNT MOISTURE BETWEEN WHEEL AND SHOES AFTER CARS WERE SHOVED OVER THE","CLEARANCE POINT. THIS RESULTED IN THE 12 LOADED TANK CARS TO SLOSH (10 LOADS WERE CLASSED AS HEAVY","CAR GREATER THEN 120 TONS) ALLOWING CARS TO ROLL OUT OF TRACK SIDESWIPING THE DF22 SHOVING DOWN THE","LEAD.","","","","","","","","","","","","0","38.886748","-90.167969","2","5","K","","","T&E LINE",
"24","01","UP","0124HL002","","","","","24","01","UP","0124HL002","","","24","01","07","11","49","AM","01","0","0","0","0","","TOPEKA","69.25","20","34","2","1","006","R","YTP0","4","6159","7","Y","YARD 004","1","","2","TGSX","003024","014","Y","","","000","","2","0","0","0","0","0","0","0","0","0","43","0","12","0","0","2","0","4","0","0","87047","58380","H503","H504","0","0","0","0","H503","2","1","006","145427","","20C177","0","000000","0","2","0","0","0","03","49","","","1","6","","CL","","","","535","","2024","0","0","0","0","0","0","SHAWNEE","177","00","00","","N","3003","2","TRAIN YTP01R-07 COVERED BY TR01 SWING SHIFT WAS SHOVING 38 CARS ON TOP OF 17 CARS IN 4 TRACK FROM TH","E EAST END OF THE TIE YARD. THE CONSIST CONTAINED EMPTY AUTORACK CARS ON THE EAST END CLOSEST TO THE","RCL LOCOMOTIVE AND LOADED CARS OF CEMENT ON THE WEST END. WHILE SHOVING, THE RCO OPERATOR MOVED THE","SELECTOR LEVER TO COAST FOR 2 SECONDS AND THEN IMMEDIATELY MOVED THE SELECTOR LEVER TO 7. THIS RESU","LTED IN EXCESSIVE BUFF FORCES BETWEEN THE EMPTY AUTO RACKS AND THE LOADED CEMENT CARS CAUSING A WHEE","L LIFT THAT RESULTED IN DERAILMENT.","","","","","","","","","","1","39.074812","-95.690372","2","5","K","","","KANSAS SUB",
"24","01","UP","0124HL012","","","","","24","01","UP","0124HL012","","","24","01","15","10","0","AM","11","0","0","0","0","","PARSONS","386.0","20","20","2","2","000","E","","","143","5","N","INDUSTRY 834","1","","2","OGEX","121533","001","Y","","","000","","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","64835","0","M406","","0","0","0","0","M406","2","1","000","64835","","20C099","0","000000","0","0","0","0","0","","","","","1","6","","CL","","","","167","","2024","0","0","0","0","0","0","LABETTE","099","","","","N","53","0","LOADED COAL CAR OGEX121533 HAD TO BE DUMPED AND SPREAD DUE TO SMOLDERING OF CARS PRODUCT. RAILCAR WA","S DAMAGED DURING DUMPING OPERATIONS. NO DERAILMENT OR TRACK DAMAGE.","","","","","","","","","","","","","","0","37.346407","-95.269946","2","5","L","","","CHEROKEE SUB",
"24","01","UP","0124HL021","","","","","24","01","UP","0124HL021","","","24","01","22","4","40","PM","01","0","0","0","0","","TOPEKA","67.33","20","37","2","2","013","R","ILBG","3","10281","1","Y","MAIN LINE 2","2","94.6","1","DTTB","791024","053","Y","DTTA","721479","058","Y","1","0","2","0","0","0","0","0","0","0","185","0","0","0","0","18","0","0","0","0","73064","487988","E65C","","0","0","0","0","E65C","1","2","013","561052","","20C177","0","000000","0","1","0","1","0","05","55","05","55","1","6","","CL","","","","365","","2024","0","0","0","0","0","0","SHAWNEE","177","","","","N","12139","2","TRAIN ILBG4-19 WAS OPERATING WITH PTC/EMS ENGAGED IN THROTTLE 2 AT 13 MPH, COMING OFF THE TOPEKA SUB","ONTO MAIN TRACK 2 OF THE KANSAS SUB. THEY WERE NOTIFIED BY ANOTHER TRAIN THAT THEY WERE ON THE GROU","ND. THE DERAILMENT INVESTIGATION TEAM FOUND CONDEMNABLE WHEEL (HOLLOW) ON THE DTTX721479. THE CROSS-","FUNCTIONAL TEAM AGREES THAT THIS WAS THE CAUSE OF THE DERAILMENT.","","","","","","","","","","","","0","39.068455","-95.659264","1","1","J","","","KANSAS SUB",
"24","02","UP","0224HL005","","","","","24","02","UP","0224HL005","","","24","02","07","7","12","PM","01","2","1","0","0","","KANSAS CITY","4.5","20","55","3","2","004","E","YKS4","3","2767","7","Y","YARD 009","1","","2","SRIX","030083","005","Y","CHTT","722627","006","N","2","0","2","0","0","0","0","0","0","0","13","0","37","0","0","2","0","5","0","0","12373","5400","E45C","","0","0","0","0","E45C","2","1","004","17773","","20C209","0","000000","0","2","0","0","0","04","22","","","1","6","","CL","","","","121","","2024","0","0","0","0","0","0","WYANDOTTE","209","","","","N","3119","2","THE TRUCK SIDE BROKE ON CAR CHTT722627, CAUSING THIS CAR AND 6 OTHERS TO DERAIL ON TRAIN YKS41R-07.","NO INJURIES REPORTED.","","","","","","","","","","","","","","3","39.096754","-94.662273","2","5","K","","","K.C. METRO (KANSAS)",
"24","05","LSI","73205","","","","","24","05","LSI","73205","","","24","05","12","9","0","AM","01","0","0","0","0","","PALMER","74.5","26","60","2","2","001","R","7 WE","3","2150","1","Y","POCKET TRACK 2","1","7.5","4","SRIX","083820","054","N","","","000","","2","0","0","0","0","0","0","0","0","0","15","0","42","0","0","0","0","2","0","0","17113","30570","T399","","0","0","0","0","T399","4","1","001","47683","","26C103","0","000000","0","1","0","1","0","02","","02","","1","4","","3","","","","150","","2024","0","0","0","0","0","0","MARQUETTE","103","","","","N","2850","1","SWITCH 16 WAS FOUND TO HAVE LOOSE BOLTS ON THE HEAD BLOCK AND STOCK RAIL AS WELL AS WORN COMPONENTS","ON THE CONNECTING RODS CAUSING EXCESSIVE MOVEMENT.","","","","","","","","","","","","","","0","46.437798","-87.65739","2","5","","","","ORE",
"24","06","GLC","062724","","","","","24","06","GLC","062724","","","24","06","27","8","45","AM","01","0","0","0","0","","DURAND","","26","70","2","2","010","R","OWY2","4","383","1","Y","WEST YARD LEA","1","","2","GACX","470264","001","N","","","000","","2","0","0","0","0","2","0","0","0","0","3","0","1","0","0","0","0","1","0","0","3000","500","T212","T212","0","0","0","0","T212","2","1","010","3500","","26C155","0","000000","0","1","0","1","1","05","30","04","30","1","4","","3","","","","254","","2024","0","0","0","0","0","0","SHIAWASSEE","155","","","","N","238","1","THEY WERE SHOVING 4 CARS OUT OF THE EXTENSION WHEN THEY SAW A PIECE OF RAIL FLY OUT FROM THE CAR NEX","T OT THE ENGINE. THE ENGINEER PUT THE TRAIN INTO EMERGENCY. AFTER STOPPING THEY SAW FUEL COMING OUT","OF SECOND LOCOMOTIVE. GLC 384 WAS LEAKING DIESEL FUEL.","","","","","","","","","","","","","0","42.9196","-84.002709","2","5","K","","","OWOSSO",
